SEASON_YEAR,TEAM_ID,GAME_DATE,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM1,TEAM2
2023,1610612759,2023-11-05,0,53.0,48,96,0.5,10,32,0.313,10,13,0.769,9,37,46,30,17.0,7,7,6,21,15,116,-7.0,1,1231,1231,1231,17,315,314,757,1784,1560,1806,2134,2179,1401,1420,513,777,535,1920,1161,450,1459,1672,1915,1044,1592,SAS,TOR
2023,1610612757,2023-11-05,0,48.0,37,95,0.389,14,45,0.311,12,15,0.8,16,31,47,23,14.0,11,5,7,21,18,100,-12.0,1,1231,1231,1231,119,1973,383,2308,762,151,1824,1896,1992,1096,159,1458,645,1776,1228,205,1003,1772,1672,1254,2115,1915,POR,MEM
2023,1610612766,2023-11-05,0,48.0,49,99,0.495,8,30,0.267,12,21,0.571,10,33,43,30,9.0,5,2,6,25,19,118,-6.0,1,1231,1231,1231,119,227,179,840,2148,1840,2166,1896,1194,2391,1170,1093,1199,535,199,1865,2080,1459,2267,1020,901,1518,CHA,DAL
2023,1610612763,2023-11-05,1,48.0,45,89,0.506,13,32,0.406,9,13,0.692,10,39,49,27,17.0,6,7,5,18,21,112,12.0,1,1,1,1,119,652,1116,715,1015,1560,736,2243,2179,2010,1170,302,436,1031,1920,1516,450,1096,968,596,1338,485,MEM,POR
2023,1610612756,2023-11-05,1,48.0,43,86,0.5,8,21,0.381,26,29,0.897,14,29,43,29,18.0,8,10,6,13,23,120,14.0,1,1,1,1,119,961,1552,757,2148,2425,1020,169,333,305,386,1817,1199,678,2077,839,75,1459,143,304,763,400,PHX,DET
2023,1610612739,2023-11-05,1,48.0,41,83,0.494,11,37,0.297,22,28,0.786,13,41,54,26,18.0,8,2,4,21,18,115,11.0,1,1,1,1,119,1333,1910,903,1521,851,1947,417,408,1262,507,151,140,1241,2077,839,2080,710,1672,1254,1114,547,CLE,GSW
2023,1610612765,2023-11-05,0,48.0,43,87,0.494,8,23,0.348,12,14,0.857,10,23,33,25,16.0,7,6,10,23,13,106,-14.0,1,1231,1231,1231,119,961,1401,876,2148,2391,1414,1896,2093,545,1170,2379,2316,1416,1720,1161,690,2312,2030,2212,1773,2017,DET,PHX
2023,1610612761,2023-11-05,1,53.0,44,97,0.454,19,48,0.396,16,26,0.615,13,34,47,29,15.0,12,6,7,15,21,123,7.0,1,1,1,1,17,791,265,1600,128,64,840,1267,580,2312,507,909,645,678,1500,109,690,1772,381,596,583,792,TOR,SAS
2023,1610612742,2023-11-05,1,48.0,43,91,0.473,14,42,0.333,24,32,0.75,9,38,47,31,11.0,3,6,2,19,25,124,6.0,1,1,1,1,119,961,840,1270,762,325,1535,271,171,1546,1420,405,645,423,530,2282,690,140,1208,125,524,870,DAL,CHA
2023,1610612744,2023-11-05,0,48.0,34,94,0.362,16,41,0.39,20,30,0.667,17,27,44,26,13.0,10,4,2,18,21,104,-11.0,1,1231,1231,1231,119,2293,480,2413,405,404,909,640,269,2121,106,2089,1055,1241,991,351,1367,140,968,596,1906,1864,GSW,CLE
2023,1610612758,2023-11-06,0,48.0,36,81,0.444,14,40,0.35,11,20,0.55,12,22,34,22,15.0,5,2,4,22,19,97,-25.0,1,1231,1231,1231,119,2105,2119,1749,762,495,1399,2024,1353,2413,703,2411,2268,1932,1500,1865,2080,710,1866,1020,2222,2321,SAC,HOU
2023,1610612750,2023-11-06,1,53.0,44,85,0.518,13,37,0.351,13,25,0.52,6,39,45,26,24.0,7,5,2,26,26,114,5.0,1,1,1,1,17,791,1684,529,1015,851,1380,1740,678,2429,2117,302,909,1241,2439,1161,1003,140,2337,86,1172,944,MIN,BOS
2023,1610612746,2023-11-06,0,48.0,36,73,0.493,11,32,0.344,14,16,0.875,7,24,31,21,22.0,8,3,1,15,13,97,-14.0,1,1231,1231,1231,119,2105,2441,927,1521,1560,1460,1603,1867,420,1904,2337,2383,2065,2401,839,1752,25,381,2212,2222,2017,LAC,NYK
2023,1610612738,2023-11-06,0,53.0,36,92,0.391,11,39,0.282,26,34,0.765,11,34,45,20,18.0,13,2,5,26,26,109,-5.0,1,1231,1231,1231,17,2105,710,2296,1521,599,2071,169,106,1447,931,909,909,2188,2077,59,2080,1096,2337,86,1562,1459,BOS,MIN
2023,1610612753,2023-11-06,0,48.0,40,85,0.471,8,27,0.296,14,18,0.778,6,32,38,27,21.0,6,4,6,24,20,102,-15.0,1,1231,1231,1231,119,1506,1684,1299,2148,2190,1962,1603,1623,1318,2117,1277,1916,1031,2357,1516,1367,1459,2158,790,2023,2062,ORL,DAL
2023,1610612749,2023-11-06,1,48.0,46,96,0.479,16,48,0.333,21,24,0.875,12,36,48,26,10.0,6,2,4,13,16,129,4.0,1,1,1,1,119,520,314,1148,405,64,1535,521,791,420,703,612,531,1241,343,1516,2080,710,143,1725,284,1003,MIL,BKN
2023,1610612745,2023-11-06,1,48.0,43,75,0.573,15,31,0.484,21,27,0.778,5,34,39,28,11.0,8,4,2,19,22,122,25.0,1,1,1,1,119,961,2403,90,574,1700,202,521,497,1318,2271,909,1785,852,530,839,1367,140,1208,432,639,127,HOU,SAC
2023,1610612748,2023-11-06,1,48.0,41,88,0.466,12,37,0.324,14,16,0.875,11,33,44,30,18.0,11,4,5,14,17,108,1.0,1,1,1,1,119,1333,1262,1382,1249,851,1660,1603,1867,420,931,1093,1055,535,2077,205,1367,1096,250,1494,1635,1185,MIA,LAL
2023,1610612737,2023-11-06,0,48.0,38,102,0.373,14,42,0.333,27,32,0.844,25,34,59,27,15.0,8,3,7,16,22,117,-9.0,1,1231,1231,1231,119,1824,76,2387,762,325,1535,115,171,689,4,909,22,1031,1500,839,1752,1772,547,432,975,1741,ATL,OKC
2023,1610612752,2023-11-06,1,48.0,41,88,0.466,12,31,0.387,17,18,0.944,18,30,48,28,20.0,13,1,3,13,15,111,14.0,1,1,1,1,119,1333,1262,1382,1249,1700,953,1073,1623,107,67,1646,531,852,2304,59,2322,382,143,1915,1413,400,NYK,LAC
2023,1610612741,2023-11-06,1,48.0,48,93,0.516,18,34,0.529,16,19,0.842,10,26,36,26,8.0,12,3,7,18,20,130,17.0,1,1,1,1,119,315,599,568,194,1272,62,1267,1486,703,1170,2189,2127,1241,117,109,1752,1772,968,790,247,293,CHI,UTA
2023,1610612743,2023-11-06,1,48.0,51,95,0.537,15,39,0.385,17,23,0.739,11,34,45,37,10.0,6,5,2,16,18,134,18.0,1,1,1,1,119,111,383,322,574,599,982,1073,909,1674,931,909,909,58,343,1516,1003,140,547,1254,140,263,DEN,NOP
2023,1610612744,2023-11-06,1,48.0,46,97,0.474,12,41,0.293,16,21,0.762,17,27,44,26,11.0,8,4,2,14,20,120,11.0,1,1,1,1,119,520,265,1242,1249,404,1999,1267,1194,1473,106,2089,1055,1241,530,839,1367,140,250,790,763,547,GSW,DET
2023,1610612747,2023-11-06,0,48.0,44,81,0.543,8,26,0.308,11,14,0.786,5,33,38,28,17.0,6,5,4,17,14,107,-1.0,1,1231,1231,1231,119,791,2119,264,2148,2265,1855,2024,2093,1262,2271,1093,1916,852,1920,1516,1003,710,737,2081,1697,1231,LAL,MIA
2023,1610612740,2023-11-06,0,48.0,45,90,0.5,13,30,0.433,13,15,0.867,8,30,38,24,13.0,6,2,5,18,16,116,-18.0,1,1231,1231,1231,119,652,977,757,1015,1840,470,1740,1992,481,1669,1646,1916,1586,991,1516,2080,1096,968,1725,1044,2169,NOP,DEN
2023,1610612764,2023-11-06,0,48.0,49,96,0.51,14,34,0.412,16,20,0.8,10,28,38,31,19.0,6,10,7,26,15,128,-18.0,1,1231,1231,1231,119,227,314,651,762,1272,669,1267,1353,1096,1170,1988,1916,423,2204,1516,75,1772,2337,1915,331,2169,WAS,PHI
