TEAM,SEASON_YEAR,TEAM_ID,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
ATL,2021.7391304347825,1610612737.0,0.5072463768115942,48.30434782608695,42.54492753623188,90.39420289855073,0.4719768115942029,12.420289855072463,34.142028985507245,0.3626927536231884,18.66376811594203,23.133333333333333,0.8071971014492754,11.220289855072464,33.542028985507244,44.76231884057971,25.457971014492752,13.115942028985508,7.391304347826087,4.649275362318841,5.133333333333334,18.846376811594205,19.843478260869563,116.17391304347827,0.20579710144927535,1.0,561.4289855072464,561.4289855072464,561.4289855072464,114.64057971014493,935.3333333333334,920.527536231884,1101.055072463768,1050.5159420289856,1148.0579710144928,1094.4202898550725,935.4347826086956,1019.063768115942,925.1536231884058,919.591304347826,1074.5884057971014,1010.9043478260869,1079.6492753623188,891.3478260869565,1076.7014492753624,1053.1652173913044,1059.3971014492754,959.008695652174,989.1159420289855,928.4260869565218,1089.7217391304348
BKN,2021.725947521866,1610612751.0,0.521865889212828,48.24781341107872,41.55685131195335,87.26822157434403,0.4776909620991254,13.06997084548105,34.947521865889215,0.37289504373177845,17.230320699708454,21.74344023323615,0.7940233236151604,9.638483965014577,33.29737609329446,42.93586005830904,25.784256559766764,13.70262390670554,6.947521865889213,5.408163265306122,4.723032069970846,19.956268221574344,18.895043731778426,113.41399416909621,0.33527696793002915,1.0,541.2623906705539,541.2623906705539,541.2623906705539,116.38775510204081,1058.6151603498542,1194.32944606414,1052.4460641399417,997.6530612244898,1111.6967930029155,1041.3440233236151,1083.9154518950438,1129.7084548104956,1043.0962099125366,1169.997084548105,1088.801749271137,1158.8425655976675,1029.9008746355685,1026.3790087463558,1144.402332361516,857.6093294460642,932.0029154518951,1126.1399416909621,1142.1690962099126,1082.6326530612246,1090.5160349854227
BOS,2021.725947521866,1610612738.0,0.6647230320699709,48.49562682215743,42.075801749271136,88.97084548104957,0.4737609329446064,15.177842565597668,40.57725947521866,0.37266472303207,16.813411078717202,20.927113702623906,0.8012186588921282,10.376093294460642,35.06997084548105,45.44606413994169,25.565597667638485,13.122448979591837,7.020408163265306,5.737609329446064,4.169096209912537,18.282798833819243,18.784256559766764,116.14285714285714,7.0466472303206995,1.0,385.198250728863,385.198250728863,385.198250728863,111.08746355685132,1001.0145772594752,1051.7055393586006,1076.9154518950438,705.5772594752186,642.4285714285714,1029.3673469387754,1144.66472303207,1209.0932944606413,979.1049562682216,1034.938775510204,893.265306122449,928.9737609329446,1038.6472303206997,939.5189504373178,1139.9883381924199,783.3935860058309,829.1049562682216,887.5422740524781,1159.271137026239,952.2565597667639,829.3877551020408
CHA,2021.725947521866,1610612766.0,0.3819241982507289,48.30612244897959,40.83673469387755,89.25655976676384,0.4589154518950438,12.778425655976676,35.95918367346939,0.35388921282798835,15.871720116618075,20.892128279883384,0.7591836734693876,10.626822157434402,32.81049562682216,43.43731778425656,25.959183673469386,14.154518950437318,7.75801749271137,4.854227405247814,5.049562682215743,19.20991253644315,19.011661807580175,110.32361516034986,-4.667638483965015,1.0,699.3615160349855,699.3615160349855,699.3615160349855,115.12244897959184,1128.6793002915451,1017.6064139941691,1248.8221574344022,1053.2798833819243,1014.3498542274052,1184.6501457725947,1220.0932944606413,1187.402332361516,1254.6793002915451,1013.4314868804664,1168.5160349854227,1154.6851311953353,978.2448979591836,1093.594752186589,971.0116618075801,1006.2361516034986,1051.405247813411,1006.4431486880467,1107.6180758017492,1233.7055393586006,1320.5830903790088
CHI,2021.7325581395348,1610612741.0,0.48546511627906974,48.39244186046512,42.19767441860465,88.15988372093024,0.4798517441860465,11.636627906976743,31.819767441860463,0.362828488372093,16.438953488372093,20.511627906976745,0.8006482558139535,9.438953488372093,33.96220930232558,43.401162790697676,25.290697674418606,13.502906976744185,7.383720930232558,4.453488372093023,4.933139534883721,18.813953488372093,18.252906976744185,112.47093023255815,-0.5552325581395349,1.0,578.7616279069767,578.7616279069767,578.7616279069767,112.76744186046511,991.3662790697674,1112.5348837209303,1019.8401162790698,1259.5639534883721,1459.125,1104.9505813953488,1161.5726744186047,1231.5377906976744,984.1569767441861,1204.5639534883721,1052.8837209302326,1158.7122093023256,1112.8924418604652,977.2238372093024,1041.7238372093022,1111.6220930232557,1022.3633720930233,956.7994186046511,1225.5901162790697,1146.5348837209303,1129.485465116279
CLE,2021.7325581395348,1610612739.0,0.5436046511627907,48.30523255813954,40.77325581395349,85.91279069767442,0.47531395348837213,12.011627906976743,33.247093023255815,0.3595261627906977,16.63372093023256,21.781976744186046,0.7649273255813953,9.979651162790697,32.88953488372093,42.86918604651163,25.73546511627907,14.07267441860465,7.444767441860465,4.520348837209302,4.941860465116279,18.069767441860463,19.74127906976744,110.19186046511628,1.3459302325581395,1.0,530.6337209302326,530.6337209302326,530.6337209302326,114.8313953488372,1179.1773255813953,1335.4331395348838,1072.8633720930231,1178.0116279069769,1257.7383720930231,1148.2296511627908,1147.6366279069769,1126.5872093023256,1210.4040697674418,1087.6220930232557,1168.0058139534883,1190.7441860465117,1030.6075581395348,1089.8226744186047,1046.4709302325582,1090.7616279069769,1024.9941860465117,844.8023255813954,997.4505813953489,1269.6337209302326,1060.7238372093022
DAL,2021.725947521866,1610612742.0,0.577259475218659,48.2332361516035,41.05830903790088,86.76093294460641,0.4738163265306123,14.122448979591837,38.77259475218659,0.36333527696793,17.309037900874635,22.61516034985423,0.763265306122449,9.110787172011662,33.15451895043732,42.265306122448976,23.88338192419825,12.48396501457726,6.670553935860059,4.326530612244898,3.82798833819242,19.545189504373177,20.49854227405248,113.54810495626822,2.306122448979592,1.0,485.4431486880466,485.4431486880466,485.4431486880466,115.72303206997084,1140.4956268221574,1249.1632653061224,1084.5685131195335,789.268221574344,687.5043731778426,1099.9358600583091,1078.1690962099126,1051.3236151603498,1215.7551020408164,1264.3090379008747,1139.0379008746356,1267.2915451895044,1275.0758017492712,814.9125364431487,1235.5510204081634,1163.67055393586,709.7784256559767,1070.6268221574344,876.4344023323615,1093.6122448979593,1025.0349854227404
DEN,2021.7126099706745,1610612743.0,0.6392961876832844,48.27859237536657,43.18181818181818,87.72434017595307,0.49351319648093844,12.19941348973607,32.9208211143695,0.37035777126099706,16.30791788856305,21.055718475073313,0.7763695014662757,10.17008797653959,33.853372434017594,44.023460410557185,28.436950146627566,13.873900293255131,7.583577712609971,4.574780058651027,4.651026392961877,18.914956011730204,19.252199413489738,114.87096774193549,3.8475073313782993,1.0,408.62463343108504,408.62463343108504,408.62463343108504,116.41348973607037,873.0586510263929,1158.2316715542522,878.9266862170088,1103.4076246334312,1261.9706744868035,1065.5689149560117,1215.565982404692,1233.7478005865103,1127.941348973607,1073.366568914956,1042.741935483871,1077.8797653958945,705.9677419354839,1050.651026392962,1017.0527859237536,1084.5366568914956,942.5689149560118,991.2404692082112,1112.7800586510264,1014.1202346041056,940.8475073313783
DET,2021.7325581395348,1610612765.0,0.2441860465116279,48.30523255813954,39.43604651162791,87.47674418604652,0.4515668604651163,11.444767441860465,33.20639534883721,0.3445174418604651,17.790697674418606,22.988372093023255,0.7734273255813954,10.645348837209303,32.406976744186046,43.05232558139535,24.125,14.965116279069768,7.066860465116279,4.630813953488372,5.5813953488372094,21.191860465116278,19.563953488372093,108.10755813953489,-7.159883720930233,1.0,868.2558139534884,868.2558139534884,868.2558139534884,115.45348837209302,1336.0872093023256,1176.639534883721,1361.5348837209303,1263.8372093023256,1268.4970930232557,1256.9767441860465,1028.453488372093,1015.671511627907,1164.4447674418604,1005.1976744186046,1231.0058139534883,1190.1744186046512,1238.6453488372092,1219.5116279069769,1098.0552325581396,1046.906976744186,1212.8953488372092,1355.5610465116279,1006.8168604651163,1371.2936046511627,1456.4912790697674
GSW,2021.719298245614,1610612744.0,0.5730994152046783,48.23391812865497,42.146198830409354,89.31286549707602,0.47268713450292393,15.084795321637428,40.16374269005848,0.3749093567251462,15.868421052631579,20.450292397660817,0.7757368421052632,10.368421052631579,34.87426900584796,45.24269005847953,28.526315789473685,15.099415204678362,7.850877192982456,4.514619883040936,4.415204678362573,20.728070175438596,18.4093567251462,115.24561403508773,2.93859649122807,1.0,486.6432748538012,486.6432748538012,486.6432748538012,116.61988304093568,985.3099415204679,1031.6842105263158,1088.4766081871346,663.1432748538011,611.3538011695906,1006.7573099415205,1246.3976608187133,1268.359649122807,1118.842105263158,1073.9502923976609,929.4473684210526,972.3304093567251,704.6140350877193,1277.4590643274853,975.780701754386,1094.0350877192982,856.6842105263158,1266.8654970760233,1214.845029239766,975.1900584795321,979.2134502923976
